ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA CH3
1.96283,157.36,0.081861,0.016746,0.065115,0.016684
1.96303,157.37,0.081910,0.016784,0.065126,0.016721
1.96323,157.39,0.081959,0.016821,0.065137,0.016759
1.96343,157.40,0.082008,0.016859,0.065149,0.016797
1.96363,157.42,0.082057,0.016897,0.065160,0.016835
1.96383,157.44,0.082106,0.016935,0.065171,0.016873
1.96403,157.45,0.082156,0.016974,0.065182,0.016911
1.96423,157.47,0.082206,0.017012,0.065193,0.016950
1.96443,157.48,0.082255,0.017051,0.065205,0.016988
1.96463,157.50,0.082305,0.017089,0.065216,0.017027
1.96483,157.52,0.082355,0.017128,0.065227,0.017066
1.96503,157.53,0.082405,0.017167,0.065238,0.017105
1.96523,157.55,0.082456,0.017206,0.065249,0.017144
1.96543,157.56,0.082506,0.017245,0.065261,0.017183
1.96563,157.58,0.082557,0.017285,0.065272,0.017222
1.96583,157.60,0.082607,0.017324,0.065283,0.017262
1.96603,157.61,0.082658,0.017364,0.065294,0.017301
1.96623,157.63,0.082709,0.017404,0.065306,0.017341
1.96643,157.64,0.082760,0.017443,0.065317,0.017381
1.96663,157.66,0.082812,0.017483,0.065328,0.017421
1.96683,157.68,0.082863,0.017524,0.065339,0.017461
1.96703,157.69,0.082915,0.017564,0.065351,0.017502
1.96723,157.71,0.082966,0.017604,0.065362,0.017542
1.96743,157.73,0.083018,0.017645,0.065373,0.017582
1.96763,157.74,0.083070,0.017686,0.065384,0.017623
1.96783,157.76,0.083122,0.017727,0.065396,0.017664
1.96803,157.77,0.083175,0.017768,0.065407,0.017705
1.96823,157.79,0.083227,0.017809,0.065418,0.017746
1.96843,157.81,0.083280,0.017850,0.065430,0.017787
1.96863,157.82,0.083332,0.017891,0.065441,0.017829
1.96883,157.84,0.083385,0.017933,0.065452,0.017870
1.96903,157.85,0.083438,0.017975,0.065463,0.017912
1.96923,157.87,0.083491,0.018017,0.065475,0.017954
1.96943,157.89,0.083545,0.018059,0.065486,0.017996
1.96963,157.90,0.083598,0.018101,0.065497,0.018038
1.96983,157.92,0.083652,0.018143,0.065509,0.018080
1.97003,157.93,0.083705,0.018185,0.065520,0.018123
1.97023,157.95,0.083759,0.018228,0.065531,0.018166
1.97043,157.97,0.083813,0.018271,0.065542,0.018208
1.97063,157.98,0.083868,0.018314,0.065554,0.018251
1.97083,158.00,0.083922,0.018357,0.065565,0.018294
1.97103,158.01,0.083976,0.018400,0.065576,0.018337
1.97123,158.03,0.084031,0.018443,0.065588,0.018381
1.97143,158.05,0.084086,0.018487,0.065599,0.018424
1.97163,158.06,0.084141,0.018531,0.065610,0.018468
1.97183,158.08,0.084196,0.018574,0.065622,0.018512
1.97203,158.09,0.084251,0.018618,0.065633,0.018556
1.97223,158.11,0.084307,0.018663,0.065644,0.018600
1.97243,158.13,0.084363,0.018707,0.065656,0.018644
1.97263,158.14,0.084418,0.018751,0.065667,0.018689
1.97283,158.16,0.084474,0.018796,0.065678,0.018733
1.97303,158.17,0.084530,0.018841,0.065690,0.018778
1.97323,158.19,0.084587,0.018886,0.065701,0.018823
1.97343,158.21,0.084643,0.018931,0.065712,0.018868
1.97363,158.22,0.084700,0.018976,0.065724,0.018913
1.97383,158.24,0.084757,0.019021,0.065735,0.018959
1.97403,158.25,0.084813,0.019067,0.065746,0.019004
1.97423,158.27,0.084871,0.019113,0.065758,0.019050
1.97443,158.29,0.084928,0.019159,0.065769,0.019096
1.97463,158.30,0.084985,0.019205,0.065781,0.019142
1.97483,158.32,0.085043,0.019251,0.065792,0.019188
1.97503,158.33,0.085101,0.019297,0.065803,0.019235
1.97523,158.35,0.085159,0.019344,0.065815,0.019281
1.97543,158.37,0.085217,0.019391,0.065826,0.019328
1.97563,158.38,0.085275,0.019438,0.065837,0.019375
1.97583,158.40,0.085334,0.019485,0.065849,0.019422
1.97603,158.41,0.085392,0.019532,0.065860,0.019469
1.97623,158.43,0.085451,0.019579,0.065872,0.019517
1.97643,158.45,0.085510,0.019627,0.065883,0.019564
1.97663,158.46,0.085569,0.019675,0.065894,0.019612
1.97683,158.48,0.085629,0.019723,0.065906,0.019660
1.97703,158.49,0.085688,0.019771,0.065917,0.019708
1.97723,158.51,0.085748,0.019819,0.065929,0.019756
1.97743,158.53,0.085808,0.019868,0.065940,0.019805
1.97763,158.54,0.085868,0.019916,0.065951,0.019853
1.97783,158.56,0.085928,0.019965,0.065963,0.019902
1.97803,158.57,0.085989,0.020014,0.065974,0.019951
1.97823,158.59,0.086049,0.020064,0.065986,0.020001
1.97843,158.61,0.086110,0.020113,0.065997,0.020050
1.97863,158.62,0.086171,0.020163,0.066009,0.020099
1.97883,158.64,0.086232,0.020212,0.066020,0.020149
1.97903,158.66,0.086294,0.020262,0.066031,0.020199
1.97923,158.67,0.086355,0.020312,0.066043,0.020249
1.97943,158.69,0.086417,0.020363,0.066054,0.020300
1.97963,158.70,0.086479,0.020413,0.066066,0.020350
1.97983,158.72,0.086541,0.020464,0.066077,0.020401
1.98003,158.74,0.086603,0.020515,0.066089,0.020452
1.98023,158.75,0.086666,0.020566,0.066100,0.020503
1.98043,158.77,0.086729,0.020617,0.066111,0.020554
1.98063,158.78,0.086791,0.020669,0.066123,0.020605
1.98083,158.80,0.086855,0.020720,0.066134,0.020657
1.98103,158.82,0.086918,0.020772,0.066146,0.020709
1.98123,158.83,0.086981,0.020824,0.066157,0.020761
1.98143,158.85,0.087045,0.020876,0.066169,0.020813
1.98163,158.86,0.087109,0.020929,0.066180,0.020866
1.98183,158.88,0.087173,0.020981,0.066192,0.020918
1.98203,158.90,0.087237,0.021034,0.066203,0.020971
1.98223,158.91,0.087302,0.021087,0.066215,0.021024
1.98243,158.93,0.087367,0.021140,0.066226,0.021077
1.98263,158.94,0.087432,0.021194,0.066238,0.021131
1.98283,158.96,0.087497,0.021248,0.066249,0.021184
