ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA CH3,EGMA CH3,AcOH CH3
1.93323,154.98,0.083212,0.023368,0.059844,0.000123,0.001282,0.021852
1.93343,155.00,0.083284,0.023430,0.059854,0.000123,0.001285,0.021911
1.93363,155.02,0.083357,0.023493,0.059864,0.000123,0.001287,0.021971
1.93383,155.03,0.083429,0.023555,0.059874,0.000123,0.001290,0.022031
1.93403,155.05,0.083502,0.023619,0.059884,0.000124,0.001293,0.022091
1.93423,155.06,0.083576,0.023682,0.059894,0.000124,0.001296,0.022152
1.93443,155.08,0.083649,0.023746,0.059903,0.000124,0.001298,0.022212
1.93463,155.10,0.083723,0.023810,0.059913,0.000124,0.001301,0.022273
1.93483,155.11,0.083797,0.023874,0.059923,0.000124,0.001304,0.022334
1.93503,155.13,0.083871,0.023938,0.059933,0.000125,0.001306,0.022396
1.93523,155.14,0.083946,0.024003,0.059943,0.000125,0.001309,0.022457
1.93543,155.16,0.084021,0.024068,0.059953,0.000125,0.001312,0.022519
1.93563,155.18,0.084096,0.024133,0.059963,0.000125,0.001315,0.022582
1.93583,155.19,0.084171,0.024198,0.059973,0.000126,0.001318,0.022644
1.93603,155.21,0.084247,0.024264,0.059983,0.000126,0.001320,0.022707
1.93623,155.22,0.084323,0.024330,0.059993,0.000126,0.001323,0.022770
1.93643,155.24,0.084399,0.024396,0.060002,0.000126,0.001326,0.022833
1.93663,155.26,0.084475,0.024463,0.060012,0.000127,0.001329,0.022896
1.93683,155.27,0.084552,0.024530,0.060022,0.000127,0.001332,0.022960
1.93703,155.29,0.084629,0.024597,0.060032,0.000127,0.001334,0.023024
1.93723,155.30,0.084706,0.024664,0.060042,0.000127,0.001337,0.023088
1.93743,155.32,0.084784,0.024732,0.060052,0.000128,0.001340,0.023153
1.93763,155.34,0.084862,0.024800,0.060062,0.000128,0.001343,0.023218
1.93783,155.35,0.084940,0.024868,0.060072,0.000128,0.001346,0.023283
1.93803,155.37,0.085019,0.024937,0.060082,0.000128,0.001349,0.023348
1.93823,155.38,0.085097,0.025006,0.060092,0.000129,0.001352,0.023414
1.93843,155.40,0.085176,0.025075,0.060102,0.000129,0.001354,0.023480
1.93863,155.42,0.085256,0.025144,0.060112,0.000129,0.001357,0.023546
1.93883,155.43,0.085335,0.025214,0.060121,0.000129,0.001360,0.023612
1.93903,155.45,0.085415,0.025284,0.060131,0.000130,0.001363,0.023679
1.93923,155.46,0.085495,0.025354,0.060141,0.000130,0.001366,0.023746
1.93943,155.48,0.085576,0.025424,0.060151,0.000130,0.001369,0.023814
1.93963,155.50,0.085657,0.025495,0.060161,0.000131,0.001372,0.023881
1.93983,155.51,0.085738,0.025566,0.060171,0.000131,0.001375,0.023949
1.94003,155.53,0.085819,0.025638,0.060181,0.000131,0.001378,0.024017
1.94023,155.54,0.085901,0.025710,0.060191,0.000131,0.001381,0.024086
1.94043,155.56,0.085983,0.025782,0.060201,0.000132,0.001384,0.024154
1.94063,155.58,0.086065,0.025854,0.060211,0.000132,0.001387,0.024224
1.94083,155.59,0.086148,0.025927,0.060221,0.000132,0.001390,0.024293
