ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EG O-CH2
4.19247,336.10,5.776032,0.001352,5.774680,0.001234
4.19287,336.13,5.788237,0.001350,5.786887,0.001233
4.19327,336.17,5.800463,0.001348,5.799115,0.001231
4.19367,336.20,5.812710,0.001346,5.811364,0.001229
4.19407,336.23,5.824978,0.001345,5.823633,0.001227
4.19447,336.26,5.837266,0.001343,5.835924,0.001225
4.19487,336.29,5.849575,0.001341,5.848235,0.001223
4.19527,336.33,5.861905,0.001339,5.860566,0.001222
4.19567,336.36,5.874256,0.001337,5.872919,0.001220
4.19607,336.39,5.886627,0.001335,5.885292,0.001218
4.19647,336.42,5.899018,0.001333,5.897685,0.001216
4.19687,336.45,5.911430,0.001331,5.910099,0.001214
4.19727,336.49,5.923862,0.001330,5.922533,0.001212
