ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA O-CH2,EGMA CH2-OC(O),EGMA CH2-OH,EG O-CH2
4.58728,367.75,3.730407,0.000798,3.729608,0.000055,0.000281,0.000049,0.000330
4.58768,367.78,3.722703,0.000797,3.721906,0.000055,0.000280,0.000049,0.000329
4.58808,367.82,3.715019,0.000796,3.714223,0.000055,0.000280,0.000049,0.000329
4.58848,367.85,3.707354,0.000795,3.706559,0.000054,0.000279,0.000049,0.000329
4.58888,367.88,3.699708,0.000794,3.698915,0.000054,0.000278,0.000049,0.000329
4.58928,367.91,3.692081,0.000792,3.691289,0.000054,0.000278,0.000048,0.000328
4.58968,367.95,3.684473,0.000791,3.683682,0.000054,0.000277,0.000048,0.000328
4.59008,367.98,3.676884,0.000790,3.676094,0.000054,0.000276,0.000048,0.000328
4.59048,368.01,3.669314,0.000789,3.668525,0.000054,0.000276,0.000048,0.000327
4.59088,368.04,3.661763,0.000788,3.660975,0.000053,0.000275,0.000048,0.000327
4.59128,368.07,3.654230,0.000786,3.653444,0.000053,0.000274,0.000048,0.000327
4.59168,368.11,3.646716,0.000785,3.645931,0.000053,0.000274,0.000048,0.000327
4.59208,368.14,3.639221,0.000784,3.638437,0.000053,0.000273,0.000048,0.000326
4.59248,368.17,3.631745,0.000783,3.630962,0.000053,0.000272,0.000048,0.000326
4.59288,368.20,3.624287,0.000782,3.623506,0.000053,0.000272,0.000048,0.000326
4.59328,368.23,3.616848,0.000781,3.616068,0.000052,0.000271,0.000048,0.000326
4.59368,368.27,3.609428,0.000779,3.608648,0.000052,0.000270,0.000048,0.000325
4.59408,368.30,3.602026,0.000778,3.601248,0.000052,0.000270,0.000048,0.000325
