ppm,hz,total_with_exchange,total_carbon_bound,EGDA O-CH2,exchangeable pool (H2O/OH/COOH)
4.16407,333.83,7.445975,0.012075,0.011947,7.433900
4.16447,333.86,7.459914,0.012131,0.012002,7.447784
4.16487,333.89,7.473855,0.012187,0.012059,7.461668
4.16527,333.92,7.487796,0.012244,0.012116,7.475553
4.16567,333.95,7.501739,0.012301,0.012173,7.489438
4.16607,333.99,7.515682,0.012358,0.012230,7.503324
4.16647,334.02,7.529626,0.012416,0.012288,7.517210
4.16687,334.05,7.543569,0.012474,0.012347,7.531095
4.16727,334.08,7.557513,0.012533,0.012405,7.544980
4.16767,334.11,7.571456,0.012592,0.012464,7.558863
4.16807,334.15,7.585398,0.012652,0.012524,7.572746
4.16847,334.18,7.599339,0.012712,0.012584,7.586627
4.16887,334.21,7.613278,0.012772,0.012645,7.600506
4.16927,334.24,7.627216,0.012833,0.012706,7.614383
4.16967,334.27,7.641152,0.012894,0.012767,7.628257
4.17007,334.31,7.655085,0.012956,0.012829,7.642129
4.17047,334.34,7.669016,0.013018,0.012891,7.655998
4.17087,334.37,7.682945,0.013081,0.012954,7.669864
4.17127,334.40,7.696870,0.013144,0.013017,7.683725
4.17167,334.43,7.710791,0.013208,0.013080,7.697583
4.17207,334.47,7.724709,0.013272,0.013145,7.711437
4.17247,334.50,7.738622,0.013336,0.013209,7.725286
4.17287,334.53,7.752531,0.013401,0.013274,7.739130
4.17327,334.56,7.766435,0.013467,0.013340,7.752969
4.17367,334.59,7.780335,0.013533,0.013406,7.766802
4.17407,334.63,7.794228,0.013599,0.013472,7.780629
4.17447,334.66,7.808117,0.013666,0.013539,7.794451
4.17487,334.69,7.821999,0.013734,0.013607,7.808265
4.17527,334.72,7.835874,0.013801,0.013675,7.822073
4.17567,334.76,7.849743,0.013870,0.013743,7.835873
4.17607,334.79,7.863605,0.013939,0.013812,7.849666
4.17647,334.82,7.877460,0.014008,0.013882,7.863452
4.17687,334.85,7.891307,0.014078,0.013952,7.877228
4.17727,334.88,7.905146,0.014149,0.014022,7.890997
4.17767,334.92,7.918976,0.014220,0.014094,7.904756
4.17807,334.95,7.932798,0.014292,0.014165,7.918507
4.17847,334.98,7.946611,0.014364,0.014238,7.932247
4.17887,335.01,7.960414,0.014437,0.014310,7.945978
4.17927,335.04,7.974208,0.014510,0.014384,7.959698
4.17967,335.08,7.987992,0.014584,0.014458,7.973408
4.18007,335.11,8.001765,0.014658,0.014532,7.987107
4.18047,335.14,8.015527,0.014733,0.014607,8.000794
4.18087,335.17,8.029278,0.014809,0.014683,8.014470
4.18127,335.20,8.043018,0.014885,0.014759,8.028133
4.18167,335.24,8.056746,0.014962,0.014836,8.041784
4.18207,335.27,8.070462,0.015039,0.014913,8.055423
4.18247,335.30,8.084165,0.015117,0.014991,8.069048
4.18287,335.33,8.097855,0.015196,0.015070,8.082659
4.18327,335.36,8.111532,0.015275,0.015149,8.096257
4.18367,335.40,8.125195,0.015355,0.015229,8.109840
4.18407,335.43,8.138844,0.015435,0.015310,8.123409
4.18447,335.46,8.152479,0.015516,0.015391,8.136963
4.18487,335.49,8.166099,0.015598,0.015473,8.150501
4.18527,335.52,8.179704,0.015681,0.015555,8.164023
4.18567,335.56,8.193293,0.015764,0.015638,8.177529
4.18607,335.59,8.206866,0.015847,0.015722,8.191019
4.18647,335.62,8.220424,0.015932,0.015806,8.204492
4.18687,335.65,8.233964,0.016017,0.015891,8.217947
4.18727,335.69,8.247488,0.016103,0.015977,8.231385
4.18767,335.72,8.260994,0.016189,0.016064,8.244805
4.18807,335.75,8.274482,0.016276,0.016151,8.258206
4.18847,335.78,8.287952,0.016364,0.016239,8.271588
4.18887,335.81,8.301403,0.016453,0.016328,8.284951
4.18927,335.85,8.314836,0.016542,0.016417,8.298294
4.18967,335.88,8.328249,0.016632,0.016507,8.311617
4.19007,335.91,8.341642,0.016723,0.016598,8.324919
4.19047,335.94,8.355015,0.016815,0.016690,8.338201
4.19087,335.97,8.368368,0.016907,0.016782,8.351461
4.19127,336.01,8.381700,0.017000,0.016875,8.364700
4.19167,336.04,8.395010,0.017094,0.016969,8.377916
4.19207,336.07,8.408299,0.017189,0.017064,8.391110
4.19247,336.10,8.421565,0.017284,0.017159,8.404281
4.19287,336.13,8.434809,0.017380,0.017256,8.417429
4.19327,336.17,8.448030,0.017477,0.017353,8.430553
4.19367,336.20,8.461228,0.017575,0.017451,8.443652
4.19407,336.23,8.474401,0.017674,0.017549,8.456728
4.19447,336.26,8.487551,0.017773,0.017649,8.469778
4.19487,336.29,8.500676,0.017874,0.017750,8.482802
4.19527,336.33,8.513776,0.017975,0.017851,8.495801
4.19567,336.36,8.526851,0.018077,0.017953,8.508774
4.19607,336.39,8.539900,0.018180,0.018056,8.521719
4.19647,336.42,8.552922,0.018284,0.018160,8.534638
4.19687,336.45,8.565918,0.018389,0.018265,8.547529
4.19727,336.49,8.578887,0.018495,0.018371,8.560392
4.19767,336.52,8.591828,0.018601,0.018477,8.573227
4.19807,336.55,8.604742,0.018709,0.018585,8.586033
4.19847,336.58,8.617627,0.018817,0.018693,8.598810
4.19887,336.62,8.630483,0.018927,0.018803,8.611556
4.19927,336.65,8.643310,0.019037,0.018913,8.624273
4.19967,336.68,8.656108,0.019149,0.019025,8.636959
4.20007,336.71,8.668876,0.019261,0.019137,8.649615
4.20047,336.74,8.681613,0.019374,0.019251,8.662238
4.20087,336.78,8.694319,0.019489,0.019365,8.674830
4.20127,336.81,8.706994,0.019604,0.019481,8.687390
4.20167,336.84,8.719637,0.019721,0.019597,8.699916
4.20207,336.87,8.732248,0.019838,0.019715,8.712410
4.20247,336.90,8.744827,0.019957,0.019833,8.724870
4.20287,336.94,8.757372,0.020076,0.019953,8.737296
4.20327,336.97,8.769884,0.020197,0.020074,8.749687
4.20367,337.00,8.782362,0.020319,0.020196,8.762043
4.20407,337.03,8.794806,0.020442,0.020318,8.774364
4.20447,337.06,8.807215,0.020566,0.020443,8.786649
