ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),AcOH CH3
2.11944,169.91,0.389548,0.319832,0.069716,0.319685
2.11964,169.93,0.386512,0.316784,0.069728,0.316636
2.11984,169.94,0.383519,0.313778,0.069741,0.313631
2.12004,169.96,0.380568,0.310814,0.069753,0.310667
2.12024,169.98,0.377657,0.307892,0.069766,0.307744
2.12044,169.99,0.374787,0.305009,0.069778,0.304861
2.12064,170.01,0.371957,0.302166,0.069790,0.302019
2.12084,170.02,0.369165,0.299362,0.069803,0.299214
2.12104,170.04,0.366412,0.296596,0.069815,0.296449
2.12124,170.06,0.363696,0.293868,0.069828,0.293720
2.12144,170.07,0.361017,0.291177,0.069840,0.291029
2.12164,170.09,0.358374,0.288522,0.069852,0.288374
2.12184,170.10,0.355767,0.285902,0.069865,0.285754
2.12204,170.12,0.353195,0.283317,0.069877,0.283169
2.12224,170.14,0.350657,0.280767,0.069890,0.280619
2.12244,170.15,0.348153,0.278250,0.069902,0.278102
2.12264,170.17,0.345682,0.275767,0.069915,0.275619
2.12284,170.18,0.343243,0.273316,0.069927,0.273168
2.12304,170.20,0.340837,0.270897,0.069940,0.270749
2.12324,170.22,0.338462,0.268510,0.069952,0.268362
2.12344,170.23,0.336118,0.266154,0.069965,0.266005
2.12364,170.25,0.333805,0.263828,0.069977,0.263679
2.12384,170.26,0.331521,0.261532,0.069990,0.261383
2.12404,170.28,0.329267,0.259265,0.070002,0.259117
2.12424,170.30,0.327042,0.257027,0.070014,0.256879
2.12444,170.31,0.324845,0.254818,0.070027,0.254670
2.12464,170.33,0.322676,0.252637,0.070039,0.252488
2.12484,170.34,0.320535,0.250483,0.070052,0.250334
2.12504,170.36,0.318421,0.248356,0.070064,0.248208
2.12524,170.38,0.316333,0.246256,0.070077,0.246108
2.12544,170.39,0.314272,0.244182,0.070089,0.244034
2.12564,170.41,0.312236,0.242134,0.070102,0.241985
2.12584,170.42,0.310226,0.240111,0.070114,0.239962
2.12604,170.44,0.308240,0.238113,0.070127,0.237964
2.12624,170.46,0.306279,0.236140,0.070139,0.235991
2.12644,170.47,0.304342,0.234190,0.070152,0.234041
2.12664,170.49,0.302429,0.232265,0.070164,0.232116
2.12684,170.50,0.300539,0.230362,0.070177,0.230214
2.12704,170.52,0.298673,0.228483,0.070190,0.228334
2.12724,170.54,0.296829,0.226627,0.070202,0.226478
2.12744,170.55,0.295007,0.224792,0.070215,0.224643
2.12764,170.57,0.293207,0.222980,0.070227,0.222831
2.12784,170.58,0.291428,0.221189,0.070240,0.221040
2.12804,170.60,0.289671,0.219419,0.070252,0.219270
2.12824,170.62,0.287935,0.217670,0.070265,0.217521
2.12844,170.63,0.286219,0.215942,0.070277,0.215793
2.12864,170.65,0.284524,0.214234,0.070290,0.214085
