ppm,hz,total_with_exchange,total_carbon_bound,EGDA O-CH2,exchangeable pool (H2O/OH/COOH),EGMA CH2-OC(O),EGMA CH2-OH,EG O-CH2
3.81046,305.48,1.291870,0.075489,0.000318,1.216381,0.000476,0.070663,0.003851
3.81086,305.51,1.293159,0.075077,0.000318,1.218082,0.000477,0.070270,0.003831
3.81126,305.54,1.294512,0.074725,0.000319,1.219787,0.000478,0.069936,0.003811
3.81166,305.57,1.295928,0.074432,0.000319,1.221496,0.000479,0.069662,0.003791
3.81206,305.61,1.297406,0.074198,0.000320,1.223208,0.000480,0.069447,0.003771
3.81246,305.64,1.298947,0.074024,0.000320,1.224923,0.000481,0.069291,0.003751
3.81286,305.67,1.300550,0.073908,0.000321,1.226642,0.000482,0.069194,0.003732
3.81326,305.70,1.302217,0.073853,0.000321,1.228364,0.000483,0.069156,0.003712
3.81366,305.73,1.303947,0.073857,0.000322,1.230090,0.000484,0.069178,0.003693
3.81406,305.77,1.305741,0.073922,0.000322,1.231819,0.000485,0.069261,0.003674
3.81446,305.80,1.307601,0.074049,0.000323,1.233552,0.000485,0.069405,0.003655
3.81486,305.83,1.309526,0.074238,0.000323,1.235288,0.000486,0.069612,0.003636
3.81526,305.86,1.311518,0.074490,0.000324,1.237028,0.000487,0.069882,0.003617
3.81566,305.89,1.313579,0.074808,0.000324,1.238771,0.000488,0.070216,0.003599
3.81606,305.93,1.315709,0.075191,0.000325,1.240518,0.000489,0.070617,0.003581
3.81646,305.96,1.317910,0.075643,0.000325,1.242268,0.000490,0.071085,0.003562
3.81686,305.99,1.320185,0.076164,0.000326,1.244021,0.000491,0.071623,0.003544
3.81726,306.02,1.322535,0.076756,0.000326,1.245779,0.000492,0.072232,0.003526
3.81766,306.05,1.324963,0.077423,0.000327,1.247540,0.000493,0.072915,0.003509
3.81806,306.09,1.327470,0.078166,0.000327,1.249304,0.000494,0.073675,0.003491
3.81846,306.12,1.330060,0.078988,0.000328,1.251072,0.000495,0.074513,0.003473
3.81886,306.15,1.332736,0.079892,0.000328,1.252843,0.000496,0.075433,0.003456
3.81926,306.18,1.335500,0.080881,0.000329,1.254619,0.000497,0.076438,0.003439
3.81966,306.21,1.338356,0.081959,0.000329,1.256397,0.000498,0.077531,0.003422
3.82006,306.25,1.341308,0.083129,0.000330,1.258180,0.000499,0.078717,0.003405
3.82046,306.28,1.344360,0.084395,0.000330,1.259965,0.000500,0.079998,0.003388
3.82086,306.31,1.347516,0.085761,0.000331,1.261755,0.000501,0.081380,0.003371
3.82126,306.34,1.350781,0.087233,0.000332,1.263548,0.000502,0.082867,0.003354
3.82166,306.38,1.354159,0.088814,0.000332,1.265345,0.000503,0.084463,0.003338
3.82206,306.41,1.357655,0.090510,0.000333,1.267145,0.000504,0.086174,0.003321
3.82246,306.44,1.361276,0.092326,0.000333,1.268950,0.000505,0.088005,0.003305
3.82286,306.47,1.365026,0.094269,0.000334,1.270757,0.000506,0.089963,0.003289
3.82326,306.50,1.368913,0.096344,0.000334,1.272569,0.000507,0.092052,0.003273
3.82366,306.54,1.372942,0.098558,0.000335,1.274384,0.000508,0.094281,0.003257
3.82406,306.57,1.377121,0.100918,0.000335,1.276203,0.000509,0.096655,0.003241
3.82446,306.60,1.381456,0.103431,0.000336,1.278025,0.000510,0.099182,0.003225
3.82486,306.63,1.385955,0.106104,0.000336,1.279852,0.000511,0.101869,0.003210
3.82526,306.66,1.390626,0.108944,0.000337,1.281682,0.000512,0.104724,0.003194
3.82566,306.70,1.395476,0.111960,0.000337,1.283515,0.000513,0.107754,0.003179
3.82606,306.73,1.400513,0.115160,0.000338,1.285353,0.000514,0.110967,0.003164
3.82646,306.76,1.405745,0.118551,0.000338,1.287194,0.000515,0.114372,0.003149
3.82686,306.79,1.411180,0.122141,0.000339,1.289039,0.000516,0.117976,0.003134
3.82726,306.82,1.416826,0.125939,0.000339,1.290888,0.000517,0.121787,0.003119
3.82766,306.86,1.422690,0.129950,0.000340,1.292740,0.000518,0.125811,0.003104
3.82806,306.89,1.428779,0.134182,0.000340,1.294597,0.000519,0.130056,0.003089
3.82846,306.92,1.435097,0.138640,0.000341,1.296457,0.000520,0.134528,0.003074
3.82886,306.95,1.441651,0.143330,0.000342,1.298321,0.000521,0.139230,0.003060
3.82926,306.98,1.448442,0.148253,0.000342,1.300189,0.000522,0.144167,0.003046
3.82966,307.02,1.455472,0.153411,0.000343,1.302060,0.000523,0.149338,0.003031
3.83006,307.05,1.462739,0.158803,0.000343,1.303936,0.000524,0.154742,0.003017
3.83046,307.08,1.470238,0.164423,0.000344,1.305815,0.000525,0.160375,0.003003
3.83086,307.11,1.477962,0.170264,0.000344,1.307698,0.000526,0.166228,0.002989
3.83126,307.14,1.485898,0.176313,0.000345,1.309585,0.000527,0.172289,0.002975
3.83166,307.18,1.494028,0.182551,0.000345,1.311476,0.000528,0.178540,0.002961
3.83206,307.21,1.502327,0.188956,0.000346,1.313371,0.000529,0.184957,0.002948
3.83246,307.24,1.510767,0.195497,0.000346,1.315270,0.000530,0.191510,0.002934
3.83286,307.27,1.519308,0.202136,0.000347,1.317172,0.000531,0.198161,0.002920
3.83326,307.31,1.527906,0.208827,0.000348,1.319079,0.000532,0.204864,0.002907
3.83366,307.34,1.536507,0.215517,0.000348,1.320989,0.000533,0.211566,0.002894
3.83406,307.37,1.545048,0.222144,0.000349,1.322904,0.000534,0.218204,0.002880
3.83446,307.40,1.553459,0.228636,0.000349,1.324822,0.000535,0.224709,0.002867
3.83486,307.43,1.561662,0.234917,0.000350,1.326745,0.000537,0.231001,0.002854
3.83526,307.47,1.569573,0.240902,0.000350,1.328671,0.000538,0.236997,0.002841
3.83566,307.50,1.577104,0.246502,0.000351,1.330601,0.000539,0.242609,0.002828
